"geneid","donor 1_unstim","donor 1_LPS","donor 2_unstim","donor 2_LPS","donor 3_unstim","donor 3_LPS","donor 4_unstim","donor 4_LPS"
"ENSG00000223972",0,0,0,3.366,13.2141,6.8179,6.3486,3.9556
"ENSG00000227232",109.2604,58.1051,30.4793,32.8737,21.9089,2.6623,42.6516,23.3038
"ENSG00000278267",0,0,0,0,0,0,0,0
"ENSG00000243485",0,0,0,0,0,0,0,0
"ENSG00000284332",0,0,0,0,0,0,0,0
"ENSG00000237613",0,0,0,0,0,0,0,0
"ENSG00000268020",0,0,1,0,0,0,0,0
"ENSG00000240361",0,0,3,0,0,0,0,0
"ENSG00000186092",0,0,0,0.6667,0,0,0,0
"ENSG00000238009",129.6635,87.9865,101.9374,115.889,70.5452,63.6262,27.4485,69.2959
