"sample_id","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_institute","contact_address","contact_city","contact_state","contact_zip_postal_code","contact_country","supplementary_file","data_row_count"
"GSM126988","human peripheral blood derived monocytes, no stimulation, biological rep1","GSM126988","Public on Aug 10 2007","Aug 10 2006","Aug 15 2006","RNA","1","human peripheral blood derived monocytes","Homo sapiens","adult male","total RNA","Trizol extraction of total RNA, Qiagen RNeasy.","biotin","9606","standard Affymetrix procedures","standard Affymetrix procedures","human peripheral blood derived monocytes, no stimulation, biological rep1","Bioconductor/RMA.","GPL570","Jared,C,Roach","Institute for Systems Biology","1441 North 34th St","Seattle","WA","98103","USA","NONE","54675"
"GSM126993","human peripheral blood derived monocytes, no stimulation, biological rep2","GSM126993","Public on Aug 10 2007","Aug 11 2006","Aug 15 2006","RNA","1","human peripheral blood derived monocytes","Homo sapiens","adult male","total RNA","Trizol extraction of total RNA, Qiagen RNeasy.","biotin","9606","standard Affymetrix procedures","standard Affymetrix procedures","human peripheral blood derived monocytes, no stimulation, biological rep2","Bioconductor/RMA.","GPL570","Jared,C,Roach","Institute for Systems Biology","1441 North 34th St","Seattle","WA","98103","USA","NONE","54675"
"GSM126994","human peripheral blood derived monocytes, 2 hour LPS stimulation, biological rep3","GSM126994","Public on Aug 10 2007","Aug 11 2006","Aug 15 2006","RNA","1","human peripheral blood derived monocytes","Homo sapiens","adult male","total RNA","Trizol extraction of total RNA, Qiagen RNeasy.","biotin","9606","standard Affymetrix procedures","standard Affymetrix procedures","human peripheral blood derived monocytes, 2 hour LPS stimulation, biological rep3","Bioconductor/RMA.","GPL570","Jared,C,Roach","Institute for Systems Biology","1441 North 34th St","Seattle","WA","98103","USA","NONE","54675"
"GSM126995","human peripheral blood derived monocytes, 2 hour LPS stimulation, biological rep2","GSM126995","Public on Aug 10 2007","Aug 11 2006","Aug 15 2006","RNA","1","human peripheral blood derived monocytes","Homo sapiens","adult male","total RNA","Trizol extraction of total RNA, Qiagen RNeasy.","biotin","9606","standard Affymetrix procedures","standard Affymetrix procedures","human peripheral blood derived monocytes, 2 hour LPS stimulation, biological rep2","Bioconductor/RMA.","GPL570","Jared,C,Roach","Institute for Systems Biology","1441 North 34th St","Seattle","WA","98103","USA","NONE","54675"
"GSM126996","human peripheral blood derived monocytes, 4 hour LPS stimulation, biological rep1","GSM126996","Public on Aug 10 2007","Aug 11 2006","Aug 15 2006","RNA","1","human peripheral blood derived monocytes","Homo sapiens","adult male","total RNA","Trizol extraction of total RNA, Qiagen RNeasy.","biotin","9606","standard Affymetrix procedures","standard Affymetrix procedures","human peripheral blood derived monocytes, 4 hour LPS stimulation, biological rep1","Bioconductor/RMA.","GPL570","Jared,C,Roach","Institute for Systems Biology","1441 North 34th St","Seattle","WA","98103","USA","NONE","54675"
"GSM126997","human peripheral blood derived monocytes, 4 hour LPS stimulation, biological rep2","GSM126997","Public on Aug 10 2007","Aug 11 2006","Aug 15 2006","RNA","1","human peripheral blood derived monocytes","Homo sapiens","adult male","total RNA","Trizol extraction of total RNA, Qiagen RNeasy.","biotin","9606","standard Affymetrix procedures","standard Affymetrix procedures","human peripheral blood derived monocytes, 4 hour LPS stimulation, biological rep2","Bioconductor/RMA.","GPL570","Jared,C,Roach","Institute for Systems Biology","1441 North 34th St","Seattle","WA","98103","USA","NONE","54675"
"GSM126998","human peripheral blood derived monocytes, 8 hour LPS stimulation, biological rep1","GSM126998","Public on Aug 10 2007","Aug 11 2006","Aug 15 2006","RNA","1","human peripheral blood derived monocytes","Homo sapiens","adult male","total RNA","Trizol extraction of total RNA, Qiagen RNeasy.","biotin","9606","standard Affymetrix procedures","standard Affymetrix procedures","human peripheral blood derived monocytes, 8 hour LPS stimulation, biological rep1","Bioconductor/RMA.","GPL570","Jared,C,Roach","Institute for Systems Biology","1441 North 34th St","Seattle","WA","98103","USA","NONE","54675"
"GSM126999","human peripheral blood derived monocytes, 8 hour LPS stimulation, biological rep2","GSM126999","Public on Aug 10 2007","Aug 11 2006","Aug 15 2006","RNA","1","human peripheral blood derived monocytes","Homo sapiens","adult male","total RNA","Trizol extraction of total RNA, Qiagen RNeasy.","biotin","9606","standard Affymetrix procedures","standard Affymetrix procedures","human peripheral blood derived monocytes, 8 hour LPS stimulation, biological rep2","Bioconductor/RMA.","GPL570","Jared,C,Roach","Institute for Systems Biology","1441 North 34th St","Seattle","WA","98103","USA","NONE","54675"
"GSM127010","human peripheral blood derived monocytes, 24 hour LPS stimulation, biological rep2","GSM127010","Public on Aug 10 2007","Aug 11 2006","Aug 15 2006","RNA","1","human peripheral blood derived monocytes","Homo sapiens","adult male","total RNA","Trizol extraction of total RNA, Qiagen RNeasy.","biotin","9606","standard Affymetrix procedures","standard Affymetrix procedures","human peripheral blood derived monocytes, 24 hour LPS stimulation, biological rep2","Bioconductor/RMA.","GPL570","Jared,C,Roach","Institute for Systems Biology","1441 North 34th St","Seattle","WA","98103","USA","NONE","54675"
"GSM127011","human peripheral blood derived monocytes, 24 hour LPS stimulation, biological rep1","GSM127011","Public on Aug 10 2007","Aug 11 2006","Aug 15 2006","RNA","1","human peripheral blood derived monocytes","Homo sapiens","adult male","total RNA","Trizol extraction of total RNA, Qiagen RNeasy.","biotin","9606","standard Affymetrix procedures","standard Affymetrix procedures","human peripheral blood derived monocytes, 24 hour LPS stimulation, biological rep1","Bioconductor/RMA.","GPL570","Jared,C,Roach","Institute for Systems Biology","1441 North 34th St","Seattle","WA","98103","USA","NONE","54675"
