"ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","gene_label","regulation"
"ENSG00000271503",8.93498596051659,5.9190823715121,48.22109220134,1.59003456880657e-09,2.01673195467502e-05,11.5984398336215,"CCL5","6352","C-C motif chemokine ligand 5","CCL5","Up"
"ENSG00000243649",8.01894472085629,5.78947296575539,46.0642975689572,2.13693452150995e-09,2.01673195467502e-05,11.5717744602185,"CFB","629","complement factor B","CFB","Up"
"ENSG00000112096",5.72568288615811,10.54941463411,43.2428797036625,3.21421833918766e-09,2.02227903840557e-05,11.8603711747518,NA,NA,NA,"ENSG00000112096","Up"
"ENSG00000105855",6.99664258644541,5.55082375694326,38.7667829370339,6.50721371676715e-09,2.57591452983621e-05,10.9598991416957,"ITGB8","3696","integrin subunit beta 8","ITGB8","Up"
"ENSG00000188313",4.52596959932757,6.14545198585986,38.4825724442266,6.82361464857273e-09,2.57591452983621e-05,11.2319492673201,"PLSCR1","5359","phospholipid scramblase 1","PLSCR1","Up"
"ENSG00000134460",9.80619410273234,3.46767374997463,37.1405816983429,8.57951353705812e-09,2.61800960583335e-05,9.11989268093062,"IL2RA","3559","interleukin 2 receptor subunit alpha","IL2RA","Up"
"ENSG00000170525",4.29829592215306,8.51101527086612,36.0663266663017,1.03674793032313e-08,2.61800960583335e-05,10.9211925170855,"PFKFB3","5209","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3","PFKFB3","Up"
"ENSG00000088827",5.0928161120179,7.88367619821143,35.2902140270717,1.19286730049382e-08,2.61800960583335e-05,10.805301204259,"SIGLEC1","6614","sialic acid binding Ig like lectin 1","SIGLEC1","Up"
"ENSG00000181045",-4.33221542355265,5.9454729303294,-34.5544476144471,1.36641515830327e-08,2.61800960583335e-05,10.631732636539,"SLC26A11","284129","solute carrier family 26 member 11","SLC26A11","Down"
"ENSG00000155307",3.93919928229709,5.78259598610531,34.1637007088884,1.47034384562118e-08,2.61800960583335e-05,10.5948023146465,"SAMSN1","64092","SAM domain, SH3 domain and nuclear localization signals 1","SAMSN1","Up"
"ENSG00000089351",4.3753624375716,7.62912138901733,33.3476080890092,1.71826324107823e-08,2.61800960583335e-05,10.4901140925369,"GRAMD1A","57655","GRAM domain containing 1A","GRAMD1A","Up"
"ENSG00000110436",8.63301766671699,2.97392825655988,33.2759595493054,1.74224371347027e-08,2.61800960583335e-05,8.88787288222748,"SLC1A2","6506","solute carrier family 1 member 2","SLC1A2","Up"
"ENSG00000168685",8.47222708559479,5.43795682377079,33.0990333604702,1.80313244375277e-08,2.61800960583335e-05,10.0024012830201,"IL7R","3575","interleukin 7 receptor","IL7R","Up"
"ENSG00000171049",7.49484898271029,2.49961932980053,32.6210451266092,1.98029763649705e-08,2.66986556349156e-05,9.00370319404748,"FPR2","2358","formyl peptide receptor 2","FPR2","Up"
"ENSG00000169184",7.19361689389471,2.69259791848534,31.2173153046796,2.62885273333645e-08,3.3079730227817e-05,8.96497501971121,"MN1","4330","MN1 proto-oncogene, transcriptional regulator","MN1","Up"
"ENSG00000131203",9.40642465597241,5.5706647836447,29.8969461865855,3.4720983978497e-08,3.56396731860253e-05,9.44630310382223,"IDO1","3620","indoleamine 2,3-dioxygenase 1","IDO1","Up"
"ENSG00000073756",6.21006320082351,5.43207738140662,29.7927700000194,3.55098044887433e-08,3.56396731860253e-05,9.70763718932709,"PTGS2","5743","prostaglandin-endoperoxide synthase 2","PTGS2","Up"
"ENSG00000184588",8.26126637982105,3.38537856291779,29.557740287992,3.73665878473739e-08,3.56396731860253e-05,8.84212310143183,"PDE4B","5142","phosphodiesterase 4B","PDE4B","Up"
"ENSG00000152229",4.30475659342026,5.17800949107315,29.3791981303606,3.8852146200091e-08,3.56396731860253e-05,9.70054347367475,"PSTPIP2","9050","proline-serine-threonine phosphatase interacting protein 2","PSTPIP2","Up"
"ENSG00000115919",3.31123558346299,7.84237837696891,29.2237279763947,4.02014326711274e-08,3.56396731860253e-05,9.72192483197344,"KYNU","8942","kynureninase","KYNU","Up"
"ENSG00000125538",9.76611270530344,5.26367431565777,29.0792498163911,4.15039780794401e-08,3.56396731860253e-05,9.19543919566019,"IL1B","3553","interleukin 1 beta","IL1B","Up"
"ENSG00000165178",6.83455638977784,4.64281133327586,29.0364216282857,4.18994036523241e-08,3.56396731860253e-05,9.40790714297847,NA,NA,NA,"ENSG00000165178","Up"
"ENSG00000105639",7.10472422200862,4.26617194736988,28.3938232870778,4.83867384114248e-08,3.56396731860253e-05,9.15133754260611,"JAK3","3718","Janus kinase 3","JAK3","Up"
"ENSG00000163734",7.14198641034684,3.6040833159041,28.1486456586621,5.11620749948772e-08,3.56396731860253e-05,8.92422697724152,"CXCL3","2921","C-X-C motif chemokine ligand 3","CXCL3","Up"
