"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","Description_wrapped"
"GO:0045069","regulation of viral genome replication",73,0.791284531380183,2.61321400836864,1e-10,6.2561797752809e-09,4.95209934949734e-09,1184,"tags=45%, list=8%, signal=42%","RSAD2/ISG20/CCL5/APOBEC3A/CXCL8/IFITM1/OASL/IFIT1/MX1/ISG15/IFITM3/OAS2/OAS3/GBP7/PLSCR1/TNIP1/IFIH1/APOBEC3H/OAS1/APOBEC3D/APOBEC3B/APOBEC3F/APOBEC3G/PROX1/BST2/IFIT5/TNF/TRIM6/EIF2AK2/SHFL/IFITM2/N4BP1/ZNFX1","Activated","regulation of viral genome
replication"
"GO:0048525","negative regulation of viral process",68,0.803114721892774,2.60804585983077,1e-10,6.2561797752809e-09,4.95209934949734e-09,1184,"tags=51%, list=8%, signal=48%","RSAD2/ISG20/CCL5/APOBEC3A/IFITM1/OASL/IFIT1/MX1/ISG15/IFITM3/OAS2/OAS3/PLSCR1/TNIP1/IFIH1/CH25H/APOBEC3H/OAS1/TRIM31/APOBEC3D/APOBEC3B/STAT1/APOBEC3F/APOBEC3G/PROX1/BST2/IL32/IFIT5/TNF/TRIM6/EIF2AK2/SHFL/IFITM2/N4BP1/ZNFX1","Activated","negative regulation of viral
process"
"GO:0045071","negative regulation of viral genome replication",45,0.867101717180342,2.60706279650556,1e-10,6.2561797752809e-09,4.95209934949734e-09,1184,"tags=69%, list=8%, signal=64%","RSAD2/ISG20/CCL5/APOBEC3A/IFITM1/OASL/IFIT1/MX1/ISG15/IFITM3/OAS2/OAS3/PLSCR1/TNIP1/IFIH1/APOBEC3H/OAS1/APOBEC3D/APOBEC3B/APOBEC3F/APOBEC3G/PROX1/BST2/IFIT5/TNF/TRIM6/EIF2AK2/SHFL/IFITM2/N4BP1/ZNFX1","Activated","negative regulation of viral genome
replication"
"GO:0019730","antimicrobial humoral response",77,0.782348009862098,2.59031442145252,1e-10,6.2561797752809e-09,4.95209934949734e-09,1500,"tags=49%, list=10%, signal=45%","CXCL13/ACOD1/CCL19/CXCL5/CCL5/CCL8/CXCL8/CCL1/CCL15/CCL4/CXCL3/CCL23/CXCL11/CXCL1/CCL20/CXCL10/CCL17/CXCL2/S100A12/CCL3L1/PPBP/ADM/CCL3/PI3/CCL2/CCL18/CCL7/BCL3/CCL24/IGHM/H2BC21/HLA-A/S100A9/CXCL12/MMP7/CXCL9/HLA-E/B2M","Activated","antimicrobial humoral response"
"GO:0006959","humoral immune response",151,0.712205855215608,2.58869374984869,1e-10,6.2561797752809e-09,4.95209934949734e-09,1633,"tags=42%, list=10%, signal=38%","CXCL13/ACOD1/CCL19/IL1B/CXCL5/CCL5/CCR7/EBI3/CCL8/CXCL8/CFB/CCL1/CCL15/CCL4/CXCL3/CCL23/CXCL11/CXCL1/CCL20/CXCL10/CCL17/CXCL2/CR1L/S100A12/IL7/CCL3L1/PPBP/ADM/TREM1/IL6/SERPING1/C1RL/CCL3/PI3/CFP/CCL2/CCL18/CCL7/C1S/BCL3/CLU/CCL24/IGHM/TNF/C1QB/C4B/MS4A1/C1R/H2BC21/C1QA/HLA-A/FCGR2B/C1QC/S100A9/CD55/CXCL12/CCR2/MMP7/CXCL9/HLA-E/B2M/TRAF3IP2/C2/CXCL6","Activated","humoral immune response"
"GO:1903900","regulation of viral life cycle",103,0.744208621573089,2.5710125456054,1e-10,6.2561797752809e-09,4.95209934949734e-09,1184,"tags=37%, list=8%, signal=34%","LAMP3/RSAD2/ISG20/CCL5/APOBEC3A/CXCL8/IFITM1/OASL/IFIT1/MX1/ISG15/IFITM3/OAS2/OAS3/GBP7/PLSCR1/TNIP1/IFIH1/CH25H/APOBEC3H/OAS1/APOBEC3D/APOBEC3B/APOBEC3F/APOBEC3G/PROX1/BST2/IL32/IFIT5/NECTIN2/TRIM5/TNF/TRIM6/EIF2AK2/SHFL/IFITM2/N4BP1/ZNFX1","Activated","regulation of viral life cycle"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",62,0.797278263278841,2.55315332399811,1e-10,6.2561797752809e-09,4.95209934949734e-09,1500,"tags=52%, list=10%, signal=47%","CXCL13/CCL19/CXCL5/CCL5/CCL8/CXCL8/CCL1/CCL15/CCL4/CXCL3/CCL23/CXCL11/CXCL1/CCL20/CXCL10/CCL17/CXCL2/S100A12/CCL3L1/PPBP/ADM/CCL3/CCL2/CCL18/CCL7/CCL24/H2BC21/S100A9/CXCL12/MMP7/CXCL9/B2M","Activated","antimicrobial humoral immune
response mediated by antimicrobial
peptide"
"GO:0019079","viral genome replication",106,0.730843521082977,2.545529111234,1e-10,6.2561797752809e-09,4.95209934949734e-09,1184,"tags=34%, list=8%, signal=32%","RSAD2/ISG20/CCL5/APOBEC3A/CCL8/CXCL8/IFITM1/OASL/IFIT1/MX1/ISG15/IFITM3/OAS2/OAS3/GBP7/PLSCR1/TNIP1/IFIH1/APOBEC3H/OAS1/ZC3H12A/CCL2/APOBEC3D/APOBEC3B/APOBEC3F/APOBEC3G/PROX1/BST2/IFIT5/TNF/TRIM6/EIF2AK2/SHFL/IFITM2/N4BP1/ZNFX1","Activated","viral genome replication"
"GO:0019221","cytokine-mediated signaling pathway",436,0.638335127303883,2.54180530534816,1e-10,6.2561797752809e-09,4.95209934949734e-09,2272,"tags=39%, list=15%, signal=34%","CXCL13/CCL19/AIM2/IL2RA/IL1B/IFI27/CCL5/CCR7/EBI3/CCL8/IL7R/IFITM1/OASL/IL12B/CCL1/ZBP1/CCL15/CRLF2/CCL4/STAT4/JAK3/IL15RA/SOCS3/CCL23/SOCS2/CXCL11/MX1/ISG15/EREG/CXCL10/IL1A/IFITM3/CD70/WNT5A/TRAF1/IL31RA/IRF7/OAS2/OAS3/EDN1/BIRC3/IL7/CCL3L1/STAP1/IL15/IL3RA/TNFAIP3/INHBA/USP18/CASP5/LILRB1/IL6/IFIH1/TNFSF13B/OAS1/OSM/CCL3/NFKBIA/ROBO1/CSF2RB/CSF3/CCL2/LILRB2/CCL18/IRF1/SECTM1/CCL7/SOCS1/IRAK2/LILRA1/PRL/PLVAP/PARP14/NLRP3/LILRA5/PARP9/CD40/CMKLR1/CXCR5/CEACAM1/STAT1/CSF2RA/IL10RA/CREBRF/CARD16/PRLR/IL18/NFKB1/MMP12/ACKR3/IL12RB1/CCL24/NLRC5/NFKBIZ/RIPK2/TNF/CD44/FLT3/TRIM6/STAT2/CLCF1/ACSL1/PDGFB/CD7/FAS/IFITM2/LIFR/PTPN2/TRAF5/LYN/HIF1A/CASP1/HCK/CASP4/IL2RB/RELA/TNFRSF4/GSDMD/RFFL/OSMR/TBK1/CXCL12/CCR2/CYLD/VRK2/FOXO3/IFNGR2/IL6ST/TANK/PTPRJ/ADAR/CXCL9/RPS6KA5/STAT3/TICAM2/TRAF3IP2/SP100/ULK1/LILRB4/HSPA1B/CXCL6/IL20RB/TRADD/PTPN1/JAK2/TRIM56/YAP1/SLIT2/STING1/AZI2/FOXC1/SIN3A/SRC/TREX1/IFNAR2/IRAK3/IFNAR1/JAK1/IL4R/TRAF2/HSPA1A/SPPL2A/NOL3/IKBKE/PIAS3/CASP3/CAV1/IL13RA1/SPHK1/RIPK1/ENTREP1","Activated","cytokine-mediated signaling pathway"
"GO:0051607","defense response to virus",283,0.649260081462059,2.51260369783801,1e-10,6.2561797752809e-09,4.95209934949734e-09,1988,"tags=36%, list=13%, signal=32%","ACOD1/AIM2/IL1B/IFI27/RSAD2/ISG20/APOBEC3A/IFI44L/IFITM1/OASL/IL12B/ZBP1/IFIT1/IL27/IFIT2/MX1/ISG15/HERC5/GBP5/CXCL10/IFITM3/IFIT3/IRF7/OAS2/MX2/OAS3/GBP7/RIGI/IL15/PLSCR1/IL23A/TNFAIP3/GBP1/USP18/NT5C3A/LILRB1/IL6/IFIH1/APOBEC3H/OAS1/DDIT4/ZC3H12A/TRIM31/IFI6/DHX58/IRF1/RTP4/APOBEC3D/TLR2/TLR3/GBP3/PARP9/GBP2/PML/TRIM22/CD40/DDX60/APOBEC3B/STAT1/APOBEC3F/APOBEC3G/BST2/CGAS/MMP12/IFIT5/TRIM5/IL12RB1/NLRC5/TNF/TRIM6/EIF2AK2/STAT2/DTX3L/IRF9/TLR8/MOV10/PMAIP1/SHFL/IFITM2/ZNFX1/CASP1/BNIP3/RELA/TBK1/IRF2/IFNGR2/TANK/ADAR/CXCL9/TRIM25/TRAF3IP2/IFI16/TRIM56/TRIM38/STING1/AZI2/UNC93B1/DDX60L/SIN3A/TRIM34/TREX1/CUL1/IFNAR2","Activated","defense response to virus"
