"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","Description_wrapped"
"hsa04060","Cytokine-cytokine receptor interaction",180,0.696935722061872,2.58613947262279,1e-10,3.16363636363636e-09,2.19138755980861e-09,1488,"tags=45%, list=10%, signal=41%","CXCL13/CCL19/IL2RA/IL1B/CXCL5/CCL5/CCR7/EBI3/CCL8/CXCL8/IL7R/TNFSF10/IL12B/CCL1/CCL15/CRLF2/CCL4/CXCL3/IL15RA/IL27/CCL23/CXCL11/CXCL1/CCL20/CXCL10/IL1A/CCL4L2/CCL17/CXCL2/CD70/TNFRSF6B/IL31RA/IL7/CCL3L1/PPBP/BMP6/IL15/IL3RA/IL23A/INHBA/NGFR/IL6/TNFSF13B/OSM/CCL3/CSF2RB/CSF3/CCL2/CCL18/CCL7/PRL/TNFSF9/IL17C/CD40/CXCR5/ACVR1C/CSF2RA/IL10RA/PRLR/IL18/IL32/ACKR3/IL12RB1/CCL24/TNF/ACVRL1/TNFRSF9/CLCF1/FAS/LIFR/BMP10/BMP2/IL2RB/TNFRSF4/OSMR/TNFRSF8/CXCL12/CCR2/IFNGR2/IL6ST/CXCL9","Activated","Cytokine-cytokine receptor
interaction"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",71,0.765452671198705,2.49851812887682,1e-10,3.16363636363636e-09,2.19138755980861e-09,878,"tags=48%, list=6%, signal=45%","CXCL13/CCL19/IL2RA/CXCL5/CCL5/CCR7/CCL8/CXCL8/TNFSF10/CCL1/CCL15/CCL4/CXCL3/CCL23/CXCL11/CXCL1/CCL20/CXCL10/CCL4L2/CCL17/CXCL2/CCL3L1/PPBP/IL6/CCL3/CCL2/CCL18/CCL7/CXCR5/IL10RA/IL18/ACKR3/CCL24/TNF","Activated","Viral protein interaction with
cytokine and cytokine receptor"
"hsa04621","NOD-like receptor signaling pathway",153,0.671088449630523,2.4460171959135,1e-10,3.16363636363636e-09,2.19138755980861e-09,2102,"tags=39%, list=14%, signal=34%","AIM2/IL1B/CCL5/CXCL8/GBP4/CXCL3/PLCB4/CXCL1/GBP5/MAP1LC3A/CXCL2/NAMPT/IRF7/OAS2/OAS3/GBP7/BIRC3/MEFV/TNFAIP3/GBP1/CASP5/IL6/OAS1/NFKBIA/CCL2/NOD2/TXN/NLRP3/GBP3/GBP2/STAT1/CARD16/IL18/NFKB1/RIPK2/TNF/STAT2/MAP1LC3C/IRF9/TRAF5/CASP1/CASP4/RELA/ITPR3/GSDMD/TBK1/MAPK11/TANK/ANTXR1/ANTXR2/IFI16/STING1/RBCK1/IFNAR2/RNF31/IFNAR1/PANX1/JAK1/TRAF2","Activated","NOD-like receptor signaling pathway"
"hsa04620","Toll-like receptor signaling pathway",92,0.693516936028823,2.3631615186614,1e-10,3.16363636363636e-09,2.19138755980861e-09,1556,"tags=36%, list=10%, signal=32%","IL1B/CCL5/CXCL8/IL12B/CCL4/CXCL11/CD80/CXCL10/CCL4L2/IRF7/CCL3L1/IL6/CCL3/NFKBIA/MAP3K8/LBP/TLR2/TLR3/CD14/CD40/STAT1/NFKB1/TNF/STAT2/IRF9/TLR8/AKT3/CD86/RELA/TBK1/MAPK11/CXCL9/TICAM2","Activated","Toll-like receptor signaling
pathway"
"hsa04657","IL-17 signaling pathway",74,0.715750779179494,2.34848258629124,1e-10,3.16363636363636e-09,2.19138755980861e-09,1676,"tags=38%, list=11%, signal=34%","IL1B/CXCL5/CXCL8/CXCL3/CXCL1/CCL20/PTGS2/CXCL10/CCL17/CXCL2/TNFAIP3/IL6/NFKBIA/CSF3/CCL2/CCL7/IL17C/NFKB1/S100A8/TNF/TRAF5/RELA/S100A9/TBK1/MAPK11/TRAF3IP2/CXCL6/TRADD","Activated","IL-17 signaling pathway"
"hsa04668","TNF signaling pathway",112,0.668768357712368,2.34802784144948,1e-10,3.16363636363636e-09,2.19138755980861e-09,1676,"tags=35%, list=11%, signal=31%","IL1B/CXCL5/CCL5/CXCL3/SOCS3/CXCL1/CCL20/PTGS2/CXCL10/CXCL2/TRAF1/EDN1/BIRC3/IL15/TNFAIP3/IL6/NFKBIA/CCL2/MAP3K8/IRF1/NOD2/BCL3/MMP14/ICAM1/NFKB1/TNF/CFLAR/FAS/TRAF5/AKT3/RELA/CASP7/MAPK11/CYLD/RHBDF2/CASP10/RPS6KA5/CXCL6/TRADD","Activated","TNF signaling pathway"
"hsa04630","JAK-STAT signaling pathway",115,0.657166312962107,2.32154014085751,1e-10,3.16363636363636e-09,2.19138755980861e-09,2237,"tags=44%, list=14%, signal=38%","IL2RA/IL7R/IL12B/CRLF2/STAT4/JAK3/IL15RA/IL27/SOCS3/SOCS2/IL31RA/IL7/IL15/IL3RA/IL23A/IL6/OSM/CSF2RB/CSF3/AOX1/SOCS1/PRL/STAT1/CSF2RA/IL10RA/MCL1/PDGFRB/PRLR/IL12RB1/STAT2/IRF9/CLCF1/PDGFB/LIFR/PTPN2/AKT3/IL2RB/OSMR/IFNGR2/IL6ST/STAT3/IL20RB/JAK2/IFNAR2/IFNAR1/JAK1/IL4R/CTF1/PIAS3/EGF/IL13RA1","Activated","JAK-STAT signaling pathway"
"hsa05164","Influenza A",139,0.620343857812417,2.22720236303198,1e-10,3.16363636363636e-09,2.19138755980861e-09,2680,"tags=40%, list=17%, signal=34%","IL1B/RSAD2/CCL5/CXCL8/TNFSF10/IL12B/SOCS3/MX1/CXCL10/IL1A/IRF7/OAS2/MX2/OAS3/RIGI/IL6/IFIH1/OAS1/NFKBIA/CCL2/HLA-DOB/TLR3/NLRP3/PML/ICAM1/STAT1/IL18/NFKB1/TNF/EIF2AK2/STAT2/IRF9/FAS/AKT3/CASP1/RELA/TBK1/IFNGR2/ADAR/TRIM25/TRADD/JAK2/IFNAR2/NXT2/IFNAR1/JAK1/IKBKE/CASP3/NUP98/NXF1/NFKBIB/BID/IRAK4/CASP8/TNFRSF1A/IFNGR1","Activated","Influenza A"
"hsa04062","Chemokine signaling pathway",162,0.588670270654242,2.16341994814308,1e-10,3.16363636363636e-09,2.19138755980861e-09,1535,"tags=27%, list=10%, signal=24%","CXCL13/CCL19/CXCL5/CCL5/CCR7/CCL8/CXCL8/CCL1/CCL15/CCL4/CXCL3/JAK3/PLCB4/CCL23/CXCL11/CXCL1/CCL20/CXCL10/NCF1/CCL4L2/CCL17/CXCL2/CCL3L1/PPBP/CCL3/NFKBIA/CCL2/CCL18/CCL7/CXCR5/STAT1/NFKB1/CCL24/STAT2/LYN/AKT3/HCK/RELA/CXCL12/CCR2/FOXO3/CXCL9/STAT3","Activated","Chemokine signaling pathway"
"hsa05417","Lipid and atherosclerosis",178,0.57245350533662,2.12394278494964,1e-10,3.16363636363636e-09,2.19138755980861e-09,2249,"tags=32%, list=14%, signal=28%","IL1B/CCL5/CXCL8/TNFSF10/IL12B/CXCL3/PLCB4/CXCL1/NCF1/CXCL2/IRF7/CCL3L1/IL6/ABCG1/CCL3/NFKBIA/CCL2/LBP/TLR2/NLRP3/CYP2J2/CD14/CD40/ICAM1/CAMK2A/IL18/NFKB1/HSPA6/TNF/OLR1/FAS/LYN/AKT3/CASP1/PPP3CC/RELA/HSPA2/ERN1/TBK1/CASP7/MAPK11/TANK/STAT3/TICAM2/HSPA1B/JAK2/AGER/ABCA1/SRC/NFE2L2/VAV2/TRAF2/HSPA1A/IKBKE/CASP3/MMP1/RAP1B","Activated","Lipid and atherosclerosis"
