"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","88/988","180/6222",0.488888888888889,3.07881241565452,12.2956900766668,6.94054613794155e-26,2.31120186393454e-23,1.84837702410443e-23,"EBI3/CXCL13/TNFSF13B/CCR7/ACVR1C/IL31RA/CSF2RA/CSF2RB/CSF3/CLCF1/IL27/IL17C/BMP10/CXCL1/CXCL2/CXCL3/IFNAR1/IFNAR2/IFNGR2/FAS/IL1A/IL1B/IL2RA/IL2RB/IL3RA/IL4R/IL6/IL6ST/IL7/IL7R/CXCL8/IL10RA/IL12B/IL12RB1/IL13RA1/IL15/IL15RA/TNFRSF9/IL18/INHBA/CXCL10/LIFR/CXCL9/NGFR/OSM/IL23A/IL20RB/PPBP/ACKR3/CXCL16/CCL1/CCL2/CCL3/CCL3L1/CCL4/CCL5/CCL7/CCL8/CCL15/CCL17/CCL18/CCL19/CCL20/CCL23/CCL24/CXCL6/CXCL11/CXCL5/CXCL12/CRLF2/CXCR5/BMP2/BMP6/BMPR2/TNF/TNFRSF1A/TNFRSF4/RELT/TNFSF10/TNFSF9/TNFRSF6B/ACVR1B/OSMR/IL32/ACVRL1/CCL4L2/CD40/CD70",88
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","41/988","71/6222",0.577464788732394,3.63662542053943,9.70725547682016,6.23713507522192e-16,1.03848299002445e-13,8.30523775805866e-14,"CXCL13/CCR7/CXCL1/CXCL2/CXCL3/IL2RA/IL2RB/IL6/IL6ST/CXCL8/IL10RA/IL18/CXCL10/CXCL9/IL20RB/PPBP/ACKR3/CCL1/CCL2/CCL3/CCL3L1/CCL4/CCL5/CCL7/CCL8/CCL15/CCL17/CCL18/CCL19/CCL20/CCL23/CCL24/CXCL6/CXCL11/CXCL5/CXCL12/CXCR5/TNF/TNFRSF1A/TNFSF10/CCL4L2",41
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","65/988","153/6222",0.42483660130719,2.67543859649123,9.1160642282202,1.75647073466184e-15,1.94968251547464e-13,1.55925296796297e-13,"TANK/NAMPT/IRF9/NOD1/RBCK1/TXNIP/RIPK3/NLRP3/CARD16/GBP4/GBP5/ANTXR2/PANX1/GBP1/GBP2/GBP3/TBK1/CXCL1/CXCL2/CXCL3/BIRC3/STING1/IFI16/IFNAR1/IFNAR2/IL1B/IL6/CXCL8/IL18/IRF7/ITPR3/JAK1/GBP7/MEFV/NFKB1/NFKBIA/NFKBIB/OAS1/OAS2/OAS3/IRAK4/PLCB4/RNF31/MAPK11/RELA/CCL2/CCL5/NOD2/STAT1/STAT2/TNF/TNFAIP3/TRAF2/TRAF5/TXN/GSDMD/CASP1/CASP4/CASP5/CASP8/MAP1LC3A/RIPK1/RIPK2/AIM2/IKBKE",65
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","64/988","156/6222",0.41025641025641,2.58361881033946,8.70268895748969,2.19383691493873e-14,1.82636923168649e-12,1.46063352494605e-12,"AKT3/IRF9/NXF1/CGAS/DAXX/RIGI/TBK1/PILRB/PILRA/HLA-A/HLA-B/HLA-C/HLA-DOB/HLA-E/HLA-F/HLA-G/BIRC3/STING1/IFNAR1/IFNAR2/IFNGR2/FAS/IL1B/IL6/IL12B/IRF7/JAK1/JAK2/NFKB1/NFKBIA/OAS1/OAS2/OAS3/IRAK4/CFP/PML/EIF2AK2/B2M/NECTIN2/RELA/CCL2/CCL5/BID/IFIH1/SP100/SRC/STAT1/STAT2/BST2/TAP1/TAP2/TAPBP/TLR2/TLR3/TNF/TNFRSF1A/C3/TRAF2/TRAF5/CASP3/CASP8/TRADD/SOCS3/IKBKE",64
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","48/988","112/6222",0.428571428571429,2.69895893580104,7.88248226032105,6.49326838393107e-12,4.2476127523699e-10,3.39701604662426e-10,"AKT3/RIPK3/MAP3K8/CYLD/JAG1/EDN1/MLKL/CXCL1/CXCL2/CXCL3/BIRC3/ICAM1/FAS/IL1B/IL6/IL15/CXCL10/IRF1/JUNB/MMP14/NFKB1/NFKBIA/MAPK11/PTGS2/RELA/BCL3/CCL2/CCL5/CCL20/CXCL6/CXCL5/NOD2/TNF/TNFAIP3/TNFRSF1A/TRAF1/TRAF2/TRAF5/RHBDF2/CASP3/CASP7/CASP8/CASP10/TRADD/RIPK1/CFLAR/SOCS3/RPS6KA5",48
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","66/988","182/6222",0.362637362637363,2.28373448413934,7.63632047152875,7.8868765198422e-12,4.2476127523699e-10,3.39701604662426e-10,"AKT3/BCL2L11/CDKN1B/IRF9/GADD45A/RIGI/SIN3A/TBK1/HLA-A/HLA-B/HLA-C/HLA-DOB/HLA-E/HLA-F/HLA-G/HES1/ICAM1/IFNAR1/IFNAR2/FAS/IL6/CXCL10/IRF7/JAK1/JAK3/LYN/MDM2/GADD45B/NFKB1/NFKB2/NFKBIA/NFKBIB/NFKBIE/OAS1/OAS2/OAS3/IRAK4/MAPK11/EIF2AK2/B2M/RELA/RELB/BID/STAT1/STAT2/STAT3/TAP1/TAP2/TAPBP/TLR2/TNF/TNFAIP3/TRAF2/TRAF5/CASP3/CASP8/RUNX3/TRADD/RIPK1/CD247/CD19/CD40/CD44/ISG15/IKBKE/CD58",66
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","55/988","139/6222",0.39568345323741,2.49184458101535,7.72794080542046,8.92891569567247e-12,4.2476127523699e-10,3.39701604662426e-10,"AKT3/ADAR/IRF9/NXF1/NLRP3/RIGI/TBK1/HLA-DOB/ICAM1/IFNAR1/IFNAR2/IFNGR2/FAS/IL1A/IL1B/IL6/CXCL8/IL12B/IL18/CXCL10/IRF7/JAK1/JAK2/MX1/MX2/NFKB1/NFKBIA/NFKBIB/NUP98/OAS1/OAS2/OAS3/IRAK4/PML/NXT2/EIF2AK2/RELA/CCL2/CCL5/BID/IFIH1/STAT1/STAT2/TLR3/TNF/TNFRSF1A/TRIM25/CASP1/CASP3/CASP8/TRADD/TNFSF10/SOCS3/RSAD2/IKBKE",55
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","48/988","115/6222",0.417391304347826,2.62855131138884,7.65822497784014,2.0569940415332e-11,8.56223769788196e-10,6.84762490141975e-10,"AKT3/IRF9/PIAS3/CISH/IL31RA/CSF2RA/CSF2RB/CSF3/CLCF1/IL27/AOX1/IFNAR1/IFNAR2/IFNGR2/IL2RA/IL2RB/IL3RA/IL4R/IL6/IL6ST/IL7/IL7R/IL10RA/IL12B/IL12RB1/IL13RA1/IL15/IL15RA/JAK1/JAK2/JAK3/LIFR/MCL1/OSM/PDGFB/IL23A/PDGFRB/IL20RB/PTPN2/CRLF2/STAT1/STAT2/STAT3/STAT4/SOCS1/SOCS2/SOCS3/OSMR",48
"Human Diseases","Infectious disease: viral","hsa05162","Measles","47/988","115/6222",0.408695652173913,2.57378982573491,7.40071035467427,8.06952580558561e-11,2.98572454806668e-09,2.38782459510311e-09,"AKT3/CDKN1B/ADAR/IRF9/FCGR2B/RIGI/TBK1/CD209/HSPA1A/HSPA1B/HSPA6/IFNAR1/IFNAR2/FAS/IL1A/IL1B/IL2RA/IL2RB/IL6/IL12B/IRF7/JAK1/JAK3/MX1/MX2/NFKB1/NFKBIA/NFKBIB/OAS1/OAS2/OAS3/IRAK4/EIF2AK2/RELA/BID/IFIH1/SLAMF1/STAT1/STAT2/STAT3/TLR2/TNFAIP3/CASP3/CASP8/TRADD/RAB9A/IKBKE",47
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","40/988","92/6222",0.434782608695652,2.73807428269671,7.2966535110863,2.25540008924839e-10,7.51048229719713e-09,6.00648655347202e-09,"AKT3/IRF9/MAP3K8/TBK1/IFNAR1/IFNAR2/TICAM2/IL1B/IL6/CXCL8/IL12B/CXCL10/IRF7/JAK1/LBP/CXCL9/NFKB1/NFKBIA/IRAK4/TLR8/MAPK11/RELA/CCL3/CCL3L1/CCL4/CCL5/CXCL11/STAT1/STAT2/TLR2/TLR3/TNF/CASP8/RIPK1/CD14/CD80/CD86/CCL4L2/CD40/IKBKE",40
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","32/988","66/6222",0.484848484848485,3.05336768494663,7.28586464889303,4.91800626705683e-10,1.3818976078973e-08,1.10516862588278e-08,"ADAR/RIPK3/TREX1/NLRP3/CGAS/MLKL/RIGI/TBK1/STING1/IFI16/IL1B/IL6/IL18/CXCL10/IRF7/MEFV/NFKB1/NFKBIA/NFKBIB/RELA/CCL4/CCL5/GSDMD/ZBP1/CASP1/CASP3/CASP7/CASP8/RIPK1/AIM2/CCL4L2/IKBKE",32
