"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"UFD1",0.63080733831389,13.343551832479,20.7990869664317,3.13236406711381e-33,6.01507871807864e-29,65.2096775023299,"Up"
"TSHZ1",-1.02686704788257,11.4970041766994,-18.2723286945704,1.22478028677897e-29,1.1618741946688e-25,57.0678542144072,"Down"
"MCEMP1",3.31186514196536,14.7637145291336,18.1574595267605,1.815144812793e-29,1.1618741946688e-25,56.6796618025729,"Up"
"VPS9D1",1.3676712963961,14.0663641810546,17.9014336194721,4.38704526672524e-29,1.97293107499684e-25,55.8085819902234,"Up"
"TLR5",1.8247160842095,13.282082815058,17.8558855077405,5.13703867884403e-29,1.97293107499684e-25,55.6527618029111,"Up"
"SLC26A8",1.74964874441275,11.7201373141882,17.5360001770408,1.56724120403783e-28,5.01595547352308e-25,54.5511396522215,"Up"
"ANXA3",2.64905725543689,14.449416842271,17.2578941020794,4.17517708339583e-28,1.14537036474929e-24,53.5829518407067,"Up"
"DNAH17",1.65337544013006,10.6172194900945,17.1532984975298,6.05039133165352e-28,1.45232080927178e-24,53.2162853356486,"Up"
"FAM20A",3.14795107346579,10.2539009768593,16.9451746057649,1.27085530391027e-27,2.54361819208104e-24,52.4825557989067,"Up"
"CHMP7",-0.607741983857047,13.8169569723674,-16.9336042089744,1.32459417386921e-27,2.54361819208104e-24,52.4416029180978,"Down"
"ACAA1",0.886094809747497,14.7551780281811,16.8802191699399,1.60385700322142e-27,2.70570331087736e-24,52.2524274586405,"Up"
"UPP1",1.75042554287342,15.0027439443357,16.8655048927348,1.69080038173871e-27,2.70570331087736e-24,52.2002218050606,"Up"
"GPR84",3.16456572836537,10.9333512046318,16.8209420365621,1.98425733796415e-27,2.93105335853274e-24,52.0419455440789,"Up"
"CYBC1",0.842832232610652,16.4348159293613,16.7816321825602,2.2855950609413e-27,3.13502013966113e-24,51.9021154624284,"Up"
"PRKAG1",0.673980098454232,12.9572791652872,16.6654414748852,3.47516084499889e-27,4.44890091376758e-24,51.4876514431791,"Up"
"USB1",1.12879760752724,14.845706783934,16.5238763889311,5.8033535671377e-27,6.96511240935908e-24,50.9803283880324,"Up"
"EPHA4",-1.37563338275484,9.24286888668471,-16.4998501004492,6.33262969014731e-27,7.15326399646464e-24,50.8939696996224,"Down"
"ADM",1.68854640987422,14.1454627602731,16.363046837996,1.04234146220028e-26,1.11200461659066e-23,50.400831689639,"Up"
"S100A9",2.39532111170502,20.5269598839181,16.3289419095561,1.18065643733897e-26,1.19327081927475e-23,50.2775160802979,"Up"
"HP",3.36624037118843,13.2831764144604,16.2455858017423,1.60195367083145e-26,1.53811581704882e-23,49.9754856357321,"Up"
"TIFAB",-1.43675046699431,6.96647799587859,-16.1575034718708,2.21362016807032e-26,2.02419752797402e-23,49.6553515665402,"Down"
"MYCBP2",-0.75599238667539,13.3901934149135,-16.0880108372946,2.85899518402816e-26,2.49551293267694e-23,49.4020708147638,"Down"
