"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"CCL5",8.93498596051659,2.01673195467502e-05,"Up",-0.816071461260207,7.55674982053647e-08,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"ITGB8",6.99664258644541,2.57591452983621e-05,"Up",-0.721297025169882,2.37936407097019e-05,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"PLSCR1",4.52596959932757,2.57591452983621e-05,"Up",1.58152797067947,2.75456179962213e-22,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"IL2RA",9.80619410273234,2.61800960583335e-05,"Up",-0.614645066202604,1.50078772645745e-05,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"PFKFB3",4.29829592215306,2.61800960583335e-05,"Up",1.64209814532139,1.37465128803168e-17,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SAMSN1",3.93919928229709,2.61800960583335e-05,"Up",1.8949571073314,5.26071935707174e-18,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"GRAMD1A",4.3753624375716,2.61800960583335e-05,"Up",0.858850983637894,2.28283036718088e-20,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SLC1A2",8.63301766671699,2.61800960583335e-05,"Up",0.781002631465027,9.4070892504775e-09,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"IL7R",8.47222708559479,2.61800960583335e-05,"Up",-1.47000331318342,1.46827877118317e-19,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"FPR2",7.49484898271029,2.66986556349156e-05,"Up",0.897748699000272,1.53131696801127e-14,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"PTGS2",6.21006320082351,3.56396731860253e-05,"Up",-0.589050549415953,6.0811968126259e-07,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"PDE4B",8.26126637982105,3.56396731860253e-05,"Up",-0.538963695863465,1.89302440973183e-07,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"PSTPIP2",4.30475659342026,3.56396731860253e-05,"Up",1.43649402216509,5.81012230502045e-23,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"KYNU",3.31123558346299,3.56396731860253e-05,"Up",0.687965001091247,3.67508400284372e-08,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"IL1B",9.76611270530344,3.56396731860253e-05,"Up",0.760703741239951,1.29196348713576e-07,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"JAK3",7.10472422200862,3.56396731860253e-05,"Up",0.982032925714158,1.24106524239779e-21,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"TNIP1",4.2898880261378,3.56396731860253e-05,"Up",0.645155402409831,3.93847691549885e-13,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"TNFAIP6",8.25616380275255,3.56396731860253e-05,"Up",1.76404934217194,2.77832981008056e-16,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"RHOBTB2",-3.19986504403809,4.59261254882362e-05,"Down",-0.659750192167644,1.21137291263698e-14,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"MKI67",-4.39150410541074,4.73817417256567e-05,"Down",0.741710150659645,0.000120921067415042,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"KCNA2",-4.98949096308149,5.88542561611737e-05,"Down",-0.59002108895406,4.37997058151389e-07,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SPOCD1",-3.2886271512956,5.96289013644337e-05,"Down",0.516535101507206,0.00365340592145667,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"STAT4",7.16713488661981,6.25003624936723e-05,"Up",-0.969970130452965,4.18926690385075e-14,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"HPGD",-5.19057409747019,6.25003624936723e-05,"Down",2.32684564591809,5.34128809585819e-13,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"FSD1L",2.88529744512904,6.25003624936723e-05,"Up",0.555901831458722,0.000105646861608579,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SLAMF1",6.82966302001992,6.25003624936723e-05,"Up",-0.712167940684051,9.77953756419313e-12,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"IRF7",5.09787784844375,6.43592707665896e-05,"Up",0.70083310175427,4.54897668035642e-08,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"VEGFB",-2.52086214336797,6.76074946367803e-05,"Down",-0.514578471303121,1.07465658875583e-08,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
