"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"CCL5",8.93498596051659,2.01673195467502e-05,"Up",-0.816071461260207,7.55674982053647e-08,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"CFB",8.01894472085629,2.01673195467502e-05,"Up",0.119227611870127,0.0378188364627823,"Not significant",TRUE,FALSE,FALSE,TRUE,"LPS significant only"
"ITGB8",6.99664258644541,2.57591452983621e-05,"Up",-0.721297025169882,2.37936407097019e-05,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"PLSCR1",4.52596959932757,2.57591452983621e-05,"Up",1.58152797067947,2.75456179962213e-22,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"IL2RA",9.80619410273234,2.61800960583335e-05,"Up",-0.614645066202604,1.50078772645745e-05,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"PFKFB3",4.29829592215306,2.61800960583335e-05,"Up",1.64209814532139,1.37465128803168e-17,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SIGLEC1",5.0928161120179,2.61800960583335e-05,"Up",-0.419861437431939,0.17041388470251,"Not significant",TRUE,FALSE,FALSE,FALSE,"LPS significant only"
"SLC26A11",-4.33221542355265,2.61800960583335e-05,"Down",-0.171357106381742,0.0539121440314239,"Not significant",TRUE,FALSE,FALSE,TRUE,"LPS significant only"
"SAMSN1",3.93919928229709,2.61800960583335e-05,"Up",1.8949571073314,5.26071935707174e-18,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"GRAMD1A",4.3753624375716,2.61800960583335e-05,"Up",0.858850983637894,2.28283036718088e-20,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"SLC1A2",8.63301766671699,2.61800960583335e-05,"Up",0.781002631465027,9.4070892504775e-09,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"IL7R",8.47222708559479,2.61800960583335e-05,"Up",-1.47000331318342,1.46827877118317e-19,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"FPR2",7.49484898271029,2.66986556349156e-05,"Up",0.897748699000272,1.53131696801127e-14,"Up",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"MN1",7.19361689389471,3.3079730227817e-05,"Up",0.069604630470715,0.444765207143227,"Not significant",TRUE,FALSE,FALSE,TRUE,"LPS significant only"
"IDO1",9.40642465597241,3.56396731860253e-05,"Up",-0.467079695163235,0.055441205052298,"Not significant",TRUE,FALSE,FALSE,FALSE,"LPS significant only"
